section,category,key,code,team_or_value,match_date
contestant,info,name,,Partial Pam,
contestant,info,email,,pam@example.com,
contestant,info,tiebreaker_goals_in_final,,,
group_stage,Group A,1st,MEX,Mexico,
group_stage,Group A,2nd,RSA,South Africa,
group_stage,Group B,1st,CAN,Canada,
group_stage,Group B,2nd,BIH,Bosnia & Herzegovina,
group_stage,Group C,1st,BRA,Brazil,
group_stage,Group C,2nd,MAR,Morocco,
group_stage,Group D,1st,USA,USA,
group_stage,Group D,2nd,PAR,Paraguay,
group_stage,Group E,1st,GER,Germany,
group_stage,Group E,2nd,CUW,Curaçao,
group_stage,Group F,1st,NED,Netherlands,
group_stage,Group F,2nd,JPN,Japan,
group_stage,Group G,1st,BEL,Belgium,
group_stage,Group G,2nd,EGY,Egypt,
group_stage,Group H,1st,ESP,Spain,
group_stage,Group H,2nd,CPV,Cabo Verde,
group_stage,Group I,1st,FRA,France,
group_stage,Group I,2nd,SEN,Senegal,
group_stage,Group J,1st,ARG,Argentina,
group_stage,Group J,2nd,,,
group_stage,Group K,1st,POR,Portugal,
group_stage,Group K,2nd,,,
group_stage,Group L,1st,ENG,England,
group_stage,Group L,2nd,,,
third_place_advancers,advancer,slot_1,BRA,Brazil,
third_place_advancers,advancer,slot_2,USA,USA,
third_place_advancers,advancer,slot_3,ARG,Argentina,
third_place_advancers,advancer,slot_4,ESP,Spain,
third_place_advancers,advancer,slot_5,FRA,France,
third_place_advancers,advancer,slot_6,,,
third_place_advancers,advancer,slot_7,,,
third_place_advancers,advancer,slot_8,,,
round_of_32,M73,winner_pick,MEX,Mexico,Sat Jun 27
round_of_32,M74,winner_pick,,,Sat Jun 27
round_of_32,M75,winner_pick,,,Sun Jun 28
round_of_32,M76,winner_pick,,,Sun Jun 28
round_of_32,M77,winner_pick,,,Mon Jun 29
round_of_32,M78,winner_pick,,,Mon Jun 29
round_of_32,M79,winner_pick,,,Tue Jun 30
round_of_32,M80,winner_pick,,,Tue Jun 30
round_of_32,M81,winner_pick,,,Tue Jun 30
round_of_32,M82,winner_pick,,,Tue Jun 30
round_of_32,M83,winner_pick,,,Wed Jul 1
round_of_32,M84,winner_pick,,,Wed Jul 1
round_of_32,M85,winner_pick,,,Wed Jul 1
round_of_32,M86,winner_pick,,,Thu Jul 2
round_of_32,M87,winner_pick,,,Thu Jul 2
round_of_32,M88,winner_pick,,,Fri Jul 3
round_of_16,M89,winner_pick,,,Sat Jul 4
round_of_16,M90,winner_pick,,,Sat Jul 4
round_of_16,M91,winner_pick,,,Sun Jul 5
round_of_16,M92,winner_pick,,,Sun Jul 5
round_of_16,M93,winner_pick,,,Mon Jul 6
round_of_16,M94,winner_pick,,,Mon Jul 6
round_of_16,M95,winner_pick,,,Tue Jul 7
round_of_16,M96,winner_pick,,,Tue Jul 7
quarterfinals,M97,winner_pick,,,Thu Jul 9
quarterfinals,M98,winner_pick,,,Thu Jul 9
quarterfinals,M99,winner_pick,,,Fri Jul 10
quarterfinals,M100,winner_pick,,,Fri Jul 10
semifinals,M101,winner_pick,,,Tue Jul 14
semifinals,M102,winner_pick,,,Wed Jul 15
final,M104,winner_pick,BRA,Brazil,Sun Jul 19
player_awards,award,player_of_the_tournament,,Vinicius Jr,
player_awards,award,young_player_of_the_tournament,,,
player_awards,award,golden_boot,,,
player_awards,award,goal_of_the_tournament,,,
