section,category,key,code,team_or_value,match_date
contestant,info,name,,Priya Patel,
contestant,info,email,,priya@example.com,
contestant,info,tiebreaker_goals_in_final,,5,
group_stage,Group A,1st,MEX,Mexico,
group_stage,Group A,2nd,CZE,Czechia,
group_stage,Group B,1st,SUI,Switzerland,
group_stage,Group B,2nd,CAN,Canada,
group_stage,Group C,1st,BRA,Brazil,
group_stage,Group C,2nd,MAR,Morocco,
group_stage,Group D,1st,TUR,Türkiye,
group_stage,Group D,2nd,USA,USA,
group_stage,Group E,1st,GER,Germany,
group_stage,Group E,2nd,CUW,Curaçao,
group_stage,Group F,1st,NED,Netherlands,
group_stage,Group F,2nd,JPN,Japan,
group_stage,Group G,1st,BEL,Belgium,
group_stage,Group G,2nd,NZL,New Zealand,
group_stage,Group H,1st,ESP,Spain,
group_stage,Group H,2nd,CPV,Cabo Verde,
group_stage,Group I,1st,NOR,Norway,
group_stage,Group I,2nd,SEN,Senegal,
group_stage,Group J,1st,ARG,Argentina,
group_stage,Group J,2nd,JOR,Jordan,
group_stage,Group K,1st,COL,Colombia,
group_stage,Group K,2nd,COD,Congo DR,
group_stage,Group L,1st,ENG,England,
group_stage,Group L,2nd,CRO,Croatia,
third_place_advancers,advancer,slot_1,FRA,France,
third_place_advancers,advancer,slot_2,EGY,Egypt,
third_place_advancers,advancer,slot_3,PAR,Paraguay,
third_place_advancers,advancer,slot_4,ALG,Algeria,
third_place_advancers,advancer,slot_5,POR,Portugal,
third_place_advancers,advancer,slot_6,QAT,Qatar,
third_place_advancers,advancer,slot_7,AUT,Austria,
third_place_advancers,advancer,slot_8,IRN,IR Iran,
round_of_32,M73,winner_pick,ENG,England,Sat Jun 27
round_of_32,M74,winner_pick,CRO,Croatia,Sat Jun 27
round_of_32,M75,winner_pick,FRA,France,Sun Jun 28
round_of_32,M76,winner_pick,SCO,Scotland,Sun Jun 28
round_of_32,M77,winner_pick,GER,Germany,Mon Jun 29
round_of_32,M78,winner_pick,EGY,Egypt,Mon Jun 29
round_of_32,M79,winner_pick,ESP,Spain,Tue Jun 30
round_of_32,M80,winner_pick,POR,Portugal,Tue Jun 30
round_of_32,M81,winner_pick,ENG,England,Tue Jun 30
round_of_32,M82,winner_pick,NED,Netherlands,Tue Jun 30
round_of_32,M83,winner_pick,ENG,England,Wed Jul 1
round_of_32,M84,winner_pick,BRA,Brazil,Wed Jul 1
round_of_32,M85,winner_pick,ENG,England,Wed Jul 1
round_of_32,M86,winner_pick,MEX,Mexico,Thu Jul 2
round_of_32,M87,winner_pick,NED,Netherlands,Thu Jul 2
round_of_32,M88,winner_pick,NOR,Norway,Fri Jul 3
round_of_16,M89,winner_pick,NZL,New Zealand,Sat Jul 4
round_of_16,M90,winner_pick,ESP,Spain,Sat Jul 4
round_of_16,M91,winner_pick,FRA,France,Sun Jul 5
round_of_16,M92,winner_pick,QAT,Qatar,Sun Jul 5
round_of_16,M93,winner_pick,NED,Netherlands,Mon Jul 6
round_of_16,M94,winner_pick,NOR,Norway,Mon Jul 6
round_of_16,M95,winner_pick,ARG,Argentina,Tue Jul 7
round_of_16,M96,winner_pick,CPV,Cabo Verde,Tue Jul 7
quarterfinals,M97,winner_pick,KOR,Korea Republic,Thu Jul 9
quarterfinals,M98,winner_pick,NED,Netherlands,Thu Jul 9
quarterfinals,M99,winner_pick,SWE,Sweden,Fri Jul 10
quarterfinals,M100,winner_pick,KOR,Korea Republic,Fri Jul 10
semifinals,M101,winner_pick,POR,Portugal,Tue Jul 14
semifinals,M102,winner_pick,SUI,Switzerland,Wed Jul 15
final,M104,winner_pick,BIH,Bosnia & Herzegovina,Sun Jul 19
player_awards,award,player_of_the_tournament,,Kylian Mbappe,
player_awards,award,young_player_of_the_tournament,,Warren Zaire-Emery,
player_awards,award,golden_boot,,Kylian Mbappe,
player_awards,award,goal_of_the_tournament,,Some screamer from outside the box,
